Task,Dataset ID,Likes,Downloads,Last Modified,License,Models,Size,ArXiv
Q&A,openai/MMMLU,486,5173,2024-10-16 18:39:00+00:00,mit,94,unknown,2009.03300
Q&A,google-research-datasets/tydiqa,31,1488,2024-08-08 05:57:11+00:00,apache-2.0,4,unknown,none
Q&A,neulab/PangeaInstruct,84,522,2025-02-02 16:40:32+00:00,apache-2.0,6,unknown,2410.16153
Q&A,hsseinmz/arcd,7,300,2024-01-09 12:44:24+00:00,mit,1,unknown,none
Q&A,mhardalov/exams,34,1320,2024-02-06 07:20:12+00:00,cc-by-sa-4.0,3,unknown,2011.03080
Q&A,cis-lmu/m_lama,6,120,2025-05-14 08:05:50+00:00,cc-by-nc-sa-4.0,0,unknown,2102.00894
Q&A,apple/mkqa,40,345,2024-01-18 11:09:04+00:00,cc-by-3.0,0,unknown,2007.15207
Q&A,facebook/mlqa,41,1231,2024-01-18 11:09:06+00:00,cc-by-sa-3.0,0,unknown,1910.07475
Q&A,qcri/wiki_qa_ar,2,117,2024-01-18 11:18:07+00:00,unknown,0,unknown,none
Q&A,INK-USC/xcsr,6,1395,2024-01-04 17:03:17+00:00,mit,0,unknown,2106.06937
Q&A,microsoft/xglue,26,142,2023-06-30 09:06:30+00:00,other,0,unknown,2004.01401
Q&A,akariasai/xor_tydi_qa,2,100,2024-01-18 11:18:45+00:00,mit,0,unknown,2010.11856
Q&A,google/xquad,31,2516,2024-01-04 17:08:50+00:00,cc-by-sa-4.0,0,unknown,1910.11856
Q&A,google-research-datasets/xquad_r,2,380,2024-01-04 17:11:57+00:00,cc-by-sa-4.0,0,unknown,2004.05484
Q&A,google/xtreme,104,18922,2024-02-22 17:12:06+00:00,apache-2.0,19,unknown,2003.11080
Q&A,clips/mqa,52,1054,2022-09-27 12:38:50+00:00,cc0-1.0,2,unknown,none
Q&A,khalidalt/tydiqa-goldp,11,2195,2024-09-10 18:28:52+00:00,apache-2.0,13,unknown,none
Q&A,juletxara/xquad_xtreme,8,81,2024-09-10 18:37:12+00:00,cc-by-sa-4.0,1,unknown,1910.11856
Q&A,juletxara/tydiqa_xtreme,1,78,2024-09-10 18:48:21+00:00,apache-2.0,0,unknown,2003.11080
Q&A,khalidalt/tydiqa-primary,0,71,2022-07-28 21:56:04+00:00,apache-2.0,0,unknown,none
Q&A,tarteel-ai/quranqa,16,62,2024-09-11 08:02:47+00:00,cc-by-nd-4.0,0,unknown,none
Q&A,copenlu/answerable_tydiqa,8,87,2024-07-12 11:53:23+00:00,apache-2.0,0,unknown,none
Q&A,copenlu/tydiqa_copenlu,0,20,2022-08-16 12:10:21+00:00,apache-2.0,0,unknown,none
Q&A,deliadumitrescu/disinfo22-small,2,24,2023-05-03 09:33:17+00:00,cc-by-4.0,0,unknown,none
Q&A,AmazonScience/xtr-wiki_qa,5,119,2023-07-24 17:32:38+00:00,cdla-permissive-2.0,0,unknown,none
Q&A,hltcoe/megawika,37,68011,2025-01-31 15:32:11+00:00,cc-by-sa-4.0,2,unknown,2307.07049
Q&A,Salama1429/tarteel-ai-QuranQA,2,75,2024-09-11 08:03:51+00:00,cc-by-nd-4.0,0,unknown,none
Q&A,pengxiang01/test,0,48,2023-10-31 08:16:31+00:00,bsl-1.0,0,unknown,none
Q&A,nazimali/quran-question-answer-context,7,233,2024-09-04 00:15:40+00:00,cc-by-4.0,0,unknown,none
Q&A,HeshamHaroon/QA_Arabic,7,48,2023-07-16 10:37:36+00:00,apache-2.0,0,unknown,none
Q&A,crystalai/autotrain-data-crystal_alchemist-vision,1,0,2023-08-25 01:37:45+00:00,apache-2.0,0,unknown,none
Q&A,hac541309/basic_korean_dict,6,61,2023-07-26 12:28:43+00:00,cc-by-sa-3.0,0,unknown,none
Q&A,PetraAI/PetraAI,21,119,2023-09-14 21:04:52+00:00,apache-2.0,1,unknown,none
Q&A,FatemahAlsubaiei/CGSQuAD,0,12,2023-08-04 03:08:30+00:00,none,3,unknown,none
Q&A,imvladikon/QAmeleon,1,81,2023-08-13 19:36:48+00:00,cc-by-4.0,0,unknown,2211.08264
Q&A,M-A-D/Mixed-Arabic-Datasets-Repo,34,1255,2023-10-16 21:25:35+00:00,none,0,unknown,none
Q&A,facebook/belebele,111,11509,2024-08-12 22:18:08+00:00,cc-by-sa-4.0,211,unknown,none
Q&A,KIND-Dataset/KIND,0,23,2024-03-19 09:00:28+00:00,cc-by-4.0,0,unknown,none
Q&A,sbarham/megawika-test,1,60,2023-10-03 17:22:49+00:00,cc-by-sa-4.0,0,unknown,2307.07049
Q&A,PeepDaSlan9/DIDI,2,24,2023-10-18 15:51:49+00:00,apache-2.0,0,unknown,none
Q&A,ISTNetworks/arabic_alpaca_model,1,14,2023-12-06 21:48:59+00:00,apache-2.0,0,unknown,none
Q&A,alexandrainst/m_arc,4,2116,2024-01-15 14:53:25+00:00,cc-by-nc-4.0,0,unknown,none
Q&A,alexandrainst/m_hellaswag,5,1170,2024-02-12 16:32:54+00:00,cc-by-nc-4.0,0,unknown,none
Q&A,alexandrainst/m_mmlu,14,3554,2024-03-11 07:52:21+00:00,cc-by-nc-4.0,0,unknown,none
Q&A,alexandrainst/m_truthfulqa,1,882,2023-12-27 20:56:58+00:00,cc-by-nc-4.0,0,unknown,none
Q&A,faranheit/ministries,0,12,2024-01-11 11:39:25+00:00,apache-2.0,0,unknown,none
Q&A,riotu-lab/Quran-Tafseers,6,34,2024-01-26 17:10:45+00:00,apache-2.0,0,unknown,none
Q&A,TheTung/mlqa,0,22,2024-01-22 02:42:54+00:00,cc-by-sa-3.0,0,unknown,none
Q&A,abdoelsayed/ArabicaQA,1,450,2024-03-27 20:29:09+00:00,mit,2,unknown,2403.17848
Q&A,abdoelsayed/Open-ArabicaQA,7,995,2024-03-27 20:30:20+00:00,mit,2,unknown,2403.17848
Q&A,sadeem-ai/arabic-qna,3,755,2024-02-05 13:38:36+00:00,apache-2.0,0,unknown,none
Q&A,Hennara/ammlu,0,56,2024-03-02 17:20:25+00:00,none,0,unknown,2009.03300
Q&A,MBZUAI/ArabicMMLU,31,3431,2024-09-17 13:54:43+00:00,cc-by-nc-4.0,0,unknown,none
Q&A,MuhammadHelmy/nafsy-QA,1,20,2024-02-27 18:40:23+00:00,none,0,unknown,none
Q&A,Asmaamaghraby/ArabicChartsQA,2,25,2024-02-29 02:25:46+00:00,none,0,unknown,none
Q&A,caro-holt/MultiQ,8,22,2024-03-02 15:22:59+00:00,cc-by-4.0,0,unknown,none
Q&A,mmhamdy/Arabic-OpenHermes-Filtered,0,31,2024-03-07 05:38:07+00:00,none,0,unknown,none
Q&A,FreedomIntelligence/ALLaVA-4V-Arabic,3,52,2024-04-29 16:09:37+00:00,apache-2.0,0,unknown,2402.11684
Q&A,KIND-Dataset/Open-ended_Questions_dialectal_data,0,15,2024-03-19 09:00:59+00:00,cc-by-4.0,0,unknown,none
Q&A,cleexiang/chat_unsensored,0,21,2024-03-26 08:48:37+00:00,apache-2.0,0,unknown,none
Q&A,yongyi169/yy-chat-ar-20240327,0,17,2024-03-27 02:31:34+00:00,apache-2.0,0,unknown,none
Q&A,yongyi169/yy-chat-ar-20240329,0,37,2024-03-29 04:23:42+00:00,apache-2.0,0,unknown,none
Q&A,asas-ai/tydiqa-ar,0,14,2024-04-01 06:15:32+00:00,apache-2.0,0,unknown,none
Q&A,asas-ai/tydiqa-ar-primary_task,0,11,2024-04-01 06:15:03+00:00,apache-2.0,0,unknown,none
Q&A,asas-ai/tydiqa-ar-secondary_task,0,11,2024-04-01 06:16:42+00:00,apache-2.0,0,unknown,none
Q&A,asas-ai/mlqa-ar-ar,0,12,2024-04-01 07:27:40+00:00,cc-by-sa-3.0,0,unknown,none
Q&A,asas-ai/ArTrivia,0,15,2024-04-01 10:40:04+00:00,none,0,unknown,none
Q&A,TrainingDataPro/llm-dataset,5,29,2024-04-25 11:49:11+00:00,cc-by-nc-nd-4.0,0,unknown,none
Q&A,hmmamalrjoub/Islam_Question_and_Answer,0,15,2024-04-10 21:04:18+00:00,none,0,unknown,none
Q&A,hmmamalrjoub/Islam_Question_and_Answer1,1,34,2024-04-10 21:11:57+00:00,none,0,unknown,none
Q&A,forresty/xglue,2,123,2024-04-19 04:33:58+00:00,other,0,unknown,2004.01401
Q&A,Lyte/2A2I-Arabic-OpenHermes-2.5-Llama-3,1,49,2024-04-19 07:22:53+00:00,apache-2.0,0,unknown,none
Q&A,afaji/cvqa,28,444,2024-11-27 17:42:19+00:00,none,0,unknown,2406.05967
Q&A,nthakur/swim-ir-cross-lingual,7,168,2024-04-28 05:11:45+00:00,cc-by-sa-4.0,0,unknown,2311.05800
Q&A,nthakur/swim-ir-monolingual,8,340,2024-04-28 05:12:53+00:00,cc-by-sa-4.0,7,unknown,2311.05800
Q&A,asas-ai/mlqa_parallel_ar_eg,0,26,2024-05-08 00:52:35+00:00,cc-by-sa-3.0,0,unknown,none
Q&A,berwart/SE-Chatting.en,2,115,2024-10-03 21:10:29+00:00,mit,0,unknown,none
Q&A,xhluca/publichealth-qa,1,291,2024-05-17 03:47:43+00:00,cc-by-nc-sa-3.0,0,unknown,none
Q&A,BoodyAhmedHamdy/EgyLaw-Squad,0,13,2024-06-01 09:44:49+00:00,mit,1,unknown,none
Q&A,nayeon212/BLEnD,9,375,2025-05-02 14:55:48+00:00,cc-by-sa-4.0,0,unknown,2406.09948
Q&A,AkshitaS/facebook_mlqa_plus,0,64,2024-06-13 22:09:56+00:00,cc-by-sa-3.0,0,unknown,none
Q&A,AkshitaS/google_xquad_plus,0,30,2024-06-13 22:08:26+00:00,cc-by-nc-sa-4.0,0,unknown,none
Q&A,mohamedemam/Essay-quetions-auto-grading-arabic,0,34,2024-06-27 23:43:40+00:00,gpl,0,unknown,none
Q&A,ClusterlabAi/InstAr-500k,12,101,2024-07-30 16:41:57+00:00,apache-2.0,3,unknown,none
Q&A,TaiMingLu/Multilingual-Benchmark,2,106,2024-12-01 06:22:38+00:00,apache-2.0,0,unknown,2406.13748
Q&A,coastalcph/tydi_xor_rc,0,34,2024-09-19 08:20:09+00:00,mit,0,unknown,none
Q&A,Washedashore/thepower,2,19,2024-07-15 02:56:09+00:00,apache-2.0,0,unknown,none
Q&A,stanford-oval/ccnews,20,2404,2024-08-31 17:28:13+00:00,none,0,unknown,none
Q&A,obadabaq/uae-laws,2,36,2024-07-24 07:16:05+00:00,mit,0,unknown,none
Q&A,obadabaq/structured-uae-laws,0,38,2024-07-24 07:14:44+00:00,mit,1,unknown,none
Q&A,riotu-lab/ArabicQA_2.1M,2,47,2024-08-04 11:46:12+00:00,apache-2.0,0,unknown,none
Q&A,kokojake/oasst2_egyptian_arabic_convs,0,36,2024-08-12 19:03:33+00:00,apache-2.0,0,unknown,none
Q&A,Adelante/arabic-qa-smallbatch,0,15,2024-08-24 08:34:08+00:00,none,0,unknown,none
Q&A,laion/Wikipedia-Abstract,4,468,2024-10-19 13:07:03+00:00,mit,0,unknown,none
Q&A,MohammedNasser/ARabic_Reasoning_QA,5,13,2024-09-07 23:00:07+00:00,apache-2.0,1,unknown,none
Q&A,MohammedNasser/Arabic_Reasoning_Instruct_QA,2,43,2024-09-10 07:30:48+00:00,apache-2.0,1,unknown,none
Q&A,ahmedselhady/ArabicMMLU_grouped,0,40,2024-09-11 10:51:56+00:00,cc-by-nc-4.0,0,unknown,2402.12840
Q&A,MBZUAI/MadinahQA,1,211,2024-09-17 08:22:25+00:00,cc-by-nc-4.0,0,unknown,none
Q&A,QCRI/AraDiCE,3,238,2024-12-13 20:07:31+00:00,cc-by-nc-sa-4.0,0,unknown,2409.11404
Q&A,Omartificial-Intelligence-Space/Arabic_Openai_MMMLU,4,29,2024-09-23 17:13:51+00:00,mit,0,unknown,2009.03300
Q&A,borderlines/bordirlines,8,451,2025-06-10 00:00:42+00:00,mit,0,unknown,2410.01171
Q&A,usail-hkust/JailJudge,2,24,2024-11-20 01:55:52+00:00,other,0,unknown,2410.12855
Q&A,emhaihsan/quran-indonesia-tafseer-translation,3,37,2024-10-05 07:41:14+00:00,mit,9,unknown,none
Q&A,Jr23xd23/Arabic_LLaMA_Math_Dataset,3,26,2024-10-07 20:37:50+00:00,cc0-1.0,1,unknown,none
Q&A,opencompass/mmmlu_lite,2,28,2024-11-01 08:34:22+00:00,mit,0,unknown,none
Q&A,QCRI/MultiNativQA,0,293,2024-10-25 10:59:30+00:00,cc-by-nc-sa-4.0,0,unknown,2407.09823
Q&A,Hezam/AHD,0,41,2024-10-12 18:04:53+00:00,cc-by-4.0,0,unknown,none
Q&A,FreedomIntelligence/ApolloMoEDataset,5,261,2024-10-18 02:52:33+00:00,mit,31,unknown,2410.10626
Q&A,FreedomIntelligence/ApolloMoEBench,0,90,2024-10-15 08:38:05+00:00,mit,0,unknown,2410.10626
Q&A,abdoelsayed/reranking-datasets,3,3308,2025-03-06 02:58:21+00:00,apache-2.0,0,unknown,2502.02464
Q&A,neulab/PangeaBench-xmmmu,1,100,2024-11-03 16:51:11+00:00,mit,0,unknown,none
Q&A,neulab/PangeaBench-cvqa,1,36,2024-10-31 20:40:41+00:00,none,0,unknown,none
Q&A,neulab/PangeaBench-tydiqa,0,208,2024-11-01 18:29:22+00:00,apache-2.0,0,unknown,none
Q&A,QCRI/AraDiCE-BoolQ,0,534,2024-11-03 11:25:39+00:00,cc-by-nc-sa-4.0,0,unknown,2409.11404
Q&A,QCRI/AraDICE-ArabicMMLU-egy,0,846,2024-11-08 17:13:53+00:00,cc-by-nc-sa-4.0,0,unknown,2409.11404
Q&A,QCRI/AraDICE-ArabicMMLU-lev,0,802,2024-11-08 18:43:31+00:00,cc-by-nc-sa-4.0,0,unknown,2409.11404
Q&A,hamoudasidhoum/ACQAD,0,23,2024-11-25 16:04:52+00:00,unknown,0,unknown,none
Q&A,conceptofmind/MegaWika,1,146,2024-11-19 04:22:41+00:00,cc-by-sa-4.0,0,unknown,2307.07049
Q&A,MahmoudIbrahim/Arabic_NVIDIA,1,41,2024-11-20 01:04:33+00:00,none,2,unknown,none
Q&A,WueNLP/belebele-fleurs,5,1555,2024-12-12 14:26:00+00:00,cc-by-sa-4.0,0,unknown,none
Q&A,hghalebi/refugiesinfo,1,12,2024-11-28 09:13:33+00:00,other,0,unknown,none
Q&A,silma-ai/silma-rag-qa-benchmark-v1.0,5,35,2025-06-11 12:55:21+00:00,apache-2.0,0,unknown,2004.05484
Q&A,WueNLP/sib-fleurs,8,827,2025-05-07 20:40:33+00:00,cc-by-sa-4.0,0,unknown,2501.06117
Q&A,dijihax/Dataset,2,30,2024-12-06 17:37:23+00:00,apache-2.0,0,unknown,none
Q&A,facebook/2M-Belebele,11,607,2024-12-17 13:39:10+00:00,cc-by-sa-4.0,1,unknown,2412.08274
Q&A,abdoelsayed/reranking-datasets-light,2,1010,2025-03-17 17:54:12+00:00,apache-2.0,0,unknown,2502.02464
Q&A,bzantium/MMMLU,0,21,2025-01-19 12:28:11+00:00,mit,0,unknown,2009.03300
Q&A,CNTXTAI0/arabic_dialects_question_and_answer,4,64,2025-01-31 10:41:40+00:00,mit,0,unknown,none
Q&A,sadnblueish/quran-cqa,0,9,2025-02-01 22:02:57+00:00,gpl-3.0,0,unknown,none
Q&A,ZiadWael/MedQA_Arabic_Dataset,1,31,2025-02-04 13:49:11+00:00,mit,0,unknown,none
Q&A,madihalim/deep-fast,1,40,2025-02-04 20:25:52+00:00,mit,0,unknown,none
Q&A,aibrahiam/resmo,0,30,2025-02-06 07:52:47+00:00,apache-2.0,0,unknown,none
Q&A,rwmasood/transcirpt-seerah-dr-yasir-qadhi,0,25,2025-02-09 08:57:14+00:00,cc-by-4.0,0,unknown,none
Q&A,LLaMAX/BenchMAX_Science,3,128,2025-03-19 07:56:40+00:00,cc-by-4.0,0,unknown,2502.07346
Q&A,nylancer/OpenShark,0,15,2025-02-10 16:32:58+00:00,mit,0,unknown,none
Q&A,karamkaram/AI_Questions_Dataset_,0,34,2025-02-14 00:18:55+00:00,cc-by-sa-4.0,0,unknown,none
Q&A,songjhPKU/PM4Bench,3,213,2025-05-16 11:47:50+00:00,apache-2.0,0,unknown,2503.18484
Q&A,YuRiVeRTi/V1Q,3,359,2025-03-11 05:39:24+00:00,apache-2.0,0,unknown,none
Q&A,Jr23xd23/Arabic-Optimized-Reasoning-Dataset,2,34,2025-02-25 13:29:24+00:00,apache-2.0,0,unknown,none
Q&A,Ahmed-Selem/Shifaa_Arabic_Medical_Consultations,3,126,2025-02-28 22:26:35+00:00,apache-2.0,0,unknown,none
Q&A,Ahmed-Selem/Shifaa_Arabic_Mental_Health_Consultations,9,255,2025-03-08 13:10:50+00:00,apache-2.0,0,unknown,none
Q&A,UBC-NLP/palm,9,84,2025-03-03 20:58:46+00:00,cc-by-nc-nd-4.0,0,unknown,none
Q&A,lenoxaugo254/LenoxAI,1,15,2025-03-04 04:48:43+00:00,none,0,unknown,none
Q&A,blcuicall/omgeval,0,8,2025-03-24 08:17:32+00:00,none,0,unknown,2402.13524
Q&A,gurgutan/quran-tafseer-qurancom,0,15,2025-03-13 12:20:15+00:00,mit,0,unknown,none
Q&A,nanonets/nn-auto-bench-ds,3,110,2025-03-13 06:51:58+00:00,mit,0,unknown,none
Q&A,gurgutan/sunnah_ar_en_dataset,0,18,2025-03-13 08:30:41+00:00,mit,0,unknown,none
Q&A,silma-ai/arabic-broad-benchmark,6,476,2025-06-11 12:43:32+00:00,apache-2.0,0,unknown,none
Q&A,rokokot/question-type-and-complexity,0,31,2025-03-30 13:36:03+00:00,cc-by-sa-4.0,0,unknown,none
Q&A,inceptionai/AraGen,0,783,2025-03-26 16:10:25+00:00,cc-by-nc-4.0,0,unknown,none
Q&A,miscovery/General_Facts_in_English_Arabic_Egyptian_Arabic,12,103,2025-04-06 07:10:44+00:00,mit,1,unknown,none
Q&A,Irina-Na/AutenticHadithes,2,36,2025-04-18 18:18:57+00:00,cc-by-sa-4.0,0,unknown,none
Q&A,Almansoorialikhalifa/Stage2-3k_Arabic_ChatML,0,31,2025-05-08 06:56:43+00:00,none,4,unknown,none
Q&A,miscovery/arabic_egypt_english_world_facts,13,163,2025-04-26 02:18:29+00:00,mit,1,unknown,none
Q&A,miscovery/Math_CoT_Arabic_English_Reasoning,16,264,2025-05-12 00:14:13+00:00,mit,1,unknown,none
Q&A,Hamzah-Asadullah/TinyDS-20k,1,131,2025-06-09 09:22:53+00:00,mit,0,unknown,none
Q&A,facebook/multiloko,1,91,2025-05-14 09:18:33+00:00,mit,0,unknown,2504.10356
Q&A,Fujitsu-FRE/MAPS,5,291,2025-05-29 14:01:44+00:00,mit,0,unknown,2505.15935
Q&A,Anonymous4open/JailJudge,1,69,2025-05-14 12:55:16+00:00,other,0,unknown,none
Q&A,Fujitsu-FRE/MAPS_Verified,2,178,2025-06-03 08:55:08+00:00,mit,0,unknown,2505.15935
Q&A,vincentkoc/tiny_qa_benchmark_pp,1,336,2025-05-20 09:41:40+00:00,other,0,unknown,2505.12058
Q&A,Groovy-123/deep-think,1,77,2025-05-22 06:06:36+00:00,other,1,unknown,none
Q&A,QCRI/SpokenNativQA,0,142,2025-05-29 23:03:37+00:00,cc-by-nc-sa-4.0,0,unknown,2505.19163
Q&A,QuickdigiLLC/DeepAIM-AIM-G1,1,144,2025-06-10 14:59:23+00:00,mit,0,unknown,none
Q&A,trais-lab/DCA-Bench,2,157,2025-05-31 06:02:50+00:00,apache-2.0,0,unknown,2406.07275
Q&A,double7/MMMLU_subset,0,211,2025-06-09 08:58:54+00:00,mit,0,unknown,2009.03300
Q&A,HLeiTR/R3-eval-MMMLU,0,15,2025-06-11 06:26:06+00:00,mit,0,unknown,none
Summarization,csebuetnlp/xlsum,138,13936,2023-04-18 01:46:20+00:00,cc-by-nc-sa-4.0,81,unknown,1607.01759
Summarization,esdurmus/wiki_lingua,46,344,2024-01-05 08:06:54+00:00,cc-by-3.0,0,unknown,2010.03093
Summarization,microsoft/xglue,26,142,2023-06-30 09:06:30+00:00,other,0,unknown,2004.01401
Summarization,GEM/wiki_lingua,48,2046,2023-02-16 09:23:29+00:00,cc-by-nc-sa-3.0,7,unknown,none
Summarization,GEM/xlsum,5,3796,2024-10-03 19:09:00+00:00,cc-by-nc-sa-4.0,0,unknown,1607.01759
Summarization,csebuetnlp/CrossSum,14,240,2024-06-19 17:09:58+00:00,cc-by-nc-sa-4.0,12,unknown,2112.08804
Summarization,deliadumitrescu/disinfo22-small,2,24,2023-05-03 09:33:17+00:00,cc-by-4.0,0,unknown,none
Summarization,hltcoe/megawika,37,68011,2025-01-31 15:32:11+00:00,cc-by-sa-4.0,2,unknown,2307.07049
Summarization,Abdelkareem/arabic_summarization_text,0,4,2023-06-18 13:34:54+00:00,none,0,unknown,none
Summarization,Ezell/test,0,11,2023-07-03 05:34:59+00:00,apache-2.0,0,unknown,none
Summarization,crystalai/autotrain-data-crystal_alchemist-vision,1,0,2023-08-25 01:37:45+00:00,apache-2.0,0,unknown,none
Summarization,alielfilali01/Hindawi-Books-dataset,12,41,2023-08-03 20:05:42+00:00,cc-by-nc-4.0,0,unknown,none
Summarization,PetraAI/PetraAI,21,119,2023-09-14 21:04:52+00:00,apache-2.0,1,unknown,none
Summarization,M-A-D/Mixed-Arabic-Datasets-Repo,34,1255,2023-10-16 21:25:35+00:00,none,0,unknown,none
Summarization,mohamedemam/Arabic-samsum-dialogsum,1,41,2023-09-11 14:35:29+00:00,cc-by-nc-2.0,1,unknown,1911.12237
Summarization,alielfilali01/Goud-Sum-Instruct,0,17,2023-09-12 19:22:47+00:00,apache-2.0,0,unknown,none
Summarization,Amina-Chouigui/ANTCorpusv2.1,1,16,2023-09-17 16:19:02+00:00,none,0,unknown,none
Summarization,M-A-D/Mixed-Arabic-Dataset-Main,6,144,2023-10-06 17:56:33+00:00,none,3,unknown,none
Summarization,FahdSeddik/AGS-Corpus,6,31,2023-09-29 12:36:04+00:00,cc-by-nc-4.0,1,unknown,none
Summarization,sbarham/megawika-test,1,60,2023-10-03 17:22:49+00:00,cc-by-sa-4.0,0,unknown,2307.07049
Summarization,PeepDaSlan9/DIDI,2,24,2023-10-18 15:51:49+00:00,apache-2.0,0,unknown,none
Summarization,hltcoe/megawika-report-generation,6,671,2024-01-19 13:01:58+00:00,cc-by-sa-4.0,0,unknown,2307.07049
Summarization,2A2I/Arabic_Aya,13,894,2024-03-15 11:08:04+00:00,apache-2.0,0,unknown,2402.06619
Summarization,forresty/xglue,2,123,2024-04-19 04:33:58+00:00,other,0,unknown,2004.01401
Summarization,Mouwiya/SANAD,1,19,2024-05-24 08:53:56+00:00,none,0,unknown,none
Summarization,Mohamed-Sami/cleaned_xlsum_arabic,0,77,2024-05-22 19:41:30+00:00,none,0,unknown,none
